filename,series,width,height,position_index,ref,metric,ts,center,rotation,scale,center.c,center.r,tr16,xfmsequence
B_141_FB40-SL_90-ST_NISL-SE_268_compressed.jp2,NISL,42440.0,57973.0,268,269.0,0.8779995838051061,07-02-24(14:48),[-42688. -55264.],-2.0778374084682123,1.0,-42688.0,55264.0,[3180.8069874  1480.53414126],rot180->rot90->pad->int
B_141_FB40-SL_90-ST_HEOS-SE_269_compressed.jp2,HEOS,,,269,271.0,0.7333962565340875,07-02-24(14:48),[-42464. -55264.],-1.5707963267948966,1.0,-42464.0,55264.0,"[2692.0, 1092.0]",rot180->rot90->pad->int
B_141_FB40-SL_91-ST_NISL-SE_271_compressed.jp2,NISL,42804.0,57679.0,271,272.0,0.7652926535961594,07-02-24(14:48),[-42656. -55232.],-2.085488449424421,1.0,-42656.0,55232.0,[3163.84217571 1504.16746784],rot180->rot90->pad->int
B_141_FB40-SL_91-ST_HEOS-SE_272_compressed.jp2,HEOS,42860.0,59474.0,272,274.0,0.6145155409984119,07-02-24(14:48),[-42656. -55456.],-2.0431171263200065,1.0,-42656.0,55456.0,[3179.15127273 1450.32036163],rot180->rot90->pad->int
B_141_FB40-SL_92-ST_NISL-SE_274_compressed.jp2,NISL,42356.0,59087.0,274,275.0,0.7818063544575913,07-02-24(14:48),[-42720. -55392.],-2.107072444773692,1.0,-42720.0,55392.0,[3184.51647328 1526.33564005],rot180->rot90->pad->int
B_141_FB40-SL_92-ST_HEOS-SE_275_compressed.jp2,HEOS,42636.0,58830.0,275,277.0,0.7856670558937076,07-02-24(14:48),[-42656. -55360.],-2.1286430032730084,1.0,-42656.0,55360.0,[3209.77968909 1534.96356765],rot180->rot90->pad->int
B_141_FB40-SL_93-ST_NISL-SE_277_compressed.jp2,NISL,43720.0,59940.0,277,278.0,0.7781992722434303,07-02-24(14:48),[-42528. -55520.],-2.072209766443368,1.0,-42528.0,55520.0,[3166.84844468 1490.76822718],rot180->rot90->pad->int
B_141_FB40-SL_93-ST_HEOS-SE_278_compressed.jp2,HEOS,42748.0,60916.0,278,280.0,0.7354448164546675,07-02-24(14:48),[-42656. -55616.],-2.0977734693195083,1.0,-42656.0,55616.0,[3206.71235944 1479.85145815],rot180->rot90->pad->int
B_141_FB40-SL_94-ST_NISL-SE_280_compressed.jp2,NISL,43865.0,60158.0,280,281.0,0.882647334346647,07-02-24(14:48),[-42528. -55520.],-2.184788406430447,1.0,-42528.0,55520.0,[3251.99801999 1614.68390666],rot180->rot90->pad->int
B_141_FB40-SL_94-ST_HEOS-SE_281_compressed.jp2,HEOS,43633.0,62130.0,281,283.0,1.2009865034219926,07-02-24(14:48),[-42560. -55776.],-2.0330786673056296,1.0,-42560.0,55776.0,[3184.15647877 1438.89793094],rot180->rot90->pad->cog->sift
B_141_FB40-SL_95-ST_NISL-SE_283_compressed.jp2,NISL,44184.0,59622.0,283,284.0,0.8532208360938384,07-02-24(14:48),[-42464. -55456.],-2.1382483353967943,1.0,-42464.0,55456.0,[3224.67411195 1539.22165166],rot180->rot90->pad->int
B_141_FB40-SL_95-ST_HEOS-SE_284_compressed.jp2,HEOS,42664.0,61288.0,284,286.0,0.8689494406237928,07-02-24(14:48),[-42656. -55680.],-2.1162410161372125,1.0,-42656.0,55680.0,[3222.41083723 1478.35808505],rot180->rot90->pad->int
B_141_FB40-SL_96-ST_NISL-SE_286_compressed.jp2,NISL,42636.0,59153.0,286,287.0,0.9596660429369192,07-02-24(14:48),[-42656. -55424.],-2.086160936091942,1.0,-42656.0,55424.0,[3163.53353479 1476.78858818],rot180->rot90->pad->int
B_141_FB40-SL_96-ST_HEOS-SE_287_compressed.jp2,HEOS,43604.0,60897.0,287,289.0,1.1429829026879237,07-02-24(14:48),[-42560. -55616.],-2.0326806730961096,1.0,-42560.0,55616.0,[3154.28001969 1411.40840237],rot180->rot90->pad->cog->int
B_141_FB40-SL_97-ST_NISL-SE_289_compressed.jp2,NISL,43314.0,61456.0,289,290.0,0.8607973422502017,07-02-24(14:48),[-42592. -55712.],-2.106527718533317,1.0,-42592.0,55712.0,[3201.08581911 1498.94714221],rot180->rot90->pad->int
B_141_FB40-SL_97-ST_HEOS-SE_290_compressed.jp2,HEOS,42552.0,61012.0,290,292.0,0.6989979725129134,07-02-24(14:48),[-42688. -55648.],-2.124110987225141,1.0,-42688.0,55648.0,[3203.65442157 1516.5701855 ],rot180->rot90->pad->int
B_141_FB40-SL_98-ST_NISL-SE_292_compressed.jp2,NISL,44039.0,61172.0,292,293.0,0.8526073709296308,07-02-24(14:48),[-42496. -55648.],-2.1230973359983625,1.0,-42496.0,55648.0,[3213.67707205 1531.69056581],rot180->rot90->pad->int
B_141_FB40-SL_98-ST_HEOS-SE_293_compressed.jp2,HEOS,43604.0,61319.0,293,295.0,1.2017482233795735,07-02-24(14:48),[-42560. -55680.],-2.1252530888519576,1.0,-42560.0,55680.0,[3218.0846495  1537.47401954],rot180->rot90->pad->cog->int
B_141_FB40-SL_99-ST_NISL-SE_295_compressed.jp2,NISL,45494.0,60278.0,295,296.0,1.026078292784343,07-02-24(14:48),[-42304. -55552.],-2.143659744731391,1.0,-42304.0,55552.0,[3244.22046829 1558.70127176],rot180->rot90->pad->cog->int
B_141_FB40-SL_99-ST_HEOS-SE_296_compressed.jp2,HEOS,43604.0,60723.0,296,298.0,0.9268927523013868,07-02-24(14:48),[-42560. -55616.],-2.1173590275071787,1.0,-42560.0,55616.0,[3210.57334641 1529.52116221],rot180->rot90->pad->int
B_141_FB40-SL_100-ST_NISL-SE_298_compressed.jp2,NISL,43894.0,59411.0,298,299.0,0.8674647049445637,07-02-24(14:48),[-42528. -55456.],-2.073138175835763,1.0,-42528.0,55456.0,[3164.67789907 1490.2717593 ],rot180->rot90->pad->int
B_141_FB40-SL_100-ST_HEOS-SE_299_compressed.jp2,HEOS,43894.0,63063.0,299,301.0,0.8691369397861358,07-02-24(14:48),[-42528. -55904.],-2.07160800708574,1.0,-42528.0,55904.0,[3203.40823415 1419.1414251 ],rot180->rot90->pad->int
B_141_FB40-SL_101-ST_NISL-SE_301_compressed.jp2,NISL,41852.0,59082.0,301,302.0,0.8414991201991449,07-02-24(14:48),[-42784. -55392.],-2.0922456514116066,1.0,-42784.0,55392.0,[3126.43621618 1491.44142911],rot180->rot90->pad->int
B_141_FB40-SL_101-ST_HEOS-SE_302_compressed.jp2,HEOS,43404.0,61392.0,302,304.0,1.2570588536457816,07-02-24(14:48),[-42560. -55680.],-2.0564796849408964,1.0,-42560.0,55680.0,[3166.58574633 1408.55534707],rot180->rot90->pad->cog->int
B_141_FB40-SL_102-ST_NISL-SE_304_compressed.jp2,NISL,42995.0,60588.0,304,305.0,1.0917398906443776,07-02-24(14:48),[-42624. -55584.],-2.086056448320571,1.0,-42624.0,55584.0,[3144.16454378 1443.86687582],rot180->rot90->pad->cog->int
B_141_FB40-SL_102-ST_HEOS-SE_305_compressed.jp2,HEOS,41824.0,58350.0,305,307.0,0.8712795647043767,07-02-24(14:48),[-42784. -55296.],-2.1686900404259504,1.0,-42784.0,55296.0,[3159.88555088 1584.21758452],rot180->rot90->pad->sift
B_141_FB40-SL_103-ST_NISL-SE_307_compressed.jp2,NISL,41796.0,60492.0,307,308.0,0.7923335208198069,07-02-24(14:48),[-42784. -55584.],-2.127883138817958,1.0,-42784.0,55584.0,[3180.9550604  1514.50767678],rot180->rot90->pad->int
B_141_FB40-SL_103-ST_HEOS-SE_308_compressed.jp2,HEOS,42679.0,59696.0,308,310.0,1.016431758057248,07-02-24(14:48),[-42656. -55488.],-2.1245449514567247,1.0,-42656.0,55488.0,[3187.57034504 1503.3792049 ],rot180->rot90->pad->cog->int
B_141_FB40-SL_104-ST_NISL-SE_310_compressed.jp2,NISL,42160.0,59029.0,310,311.0,0.9857578695769936,07-02-24(14:48),[-42720. -55392.],-2.2169878580716107,1.0,-42720.0,55392.0,[3205.70297549 1623.06475547],rot180->rot90->pad->int
B_141_FB40-SL_104-ST_HEOS-SE_311_compressed.jp2,HEOS,42592.0,61830.0,311,313.0,1.1264274033406625,07-02-24(14:48),[-42688. -55744.],-2.0910353034205347,1.0,-42688.0,55744.0,[3169.48708176 1463.85039361],rot180->rot90->pad->cog->sift
B_141_FB40-SL_105-ST_NISL-SE_313_compressed.jp2,NISL,42592.0,60274.0,313,314.0,1.1956321819923672,07-02-24(14:48),[53344. 40480.],0.9552698870881678,1.0,53344.0,-40480.0,[1054.30622374 2349.35787899],rot90->pad->cog->int
B_141_FB40-SL_105-ST_HEOS-SE_314_compressed.jp2,HEOS,43346.0,63297.0,314,316.0,1.4903326108633386,07-02-24(14:48),[-42592. -55936.],-2.083832405138028,1.0,-42592.0,55936.0,[3190.01396875 1433.30621572],rot180->rot90->pad->cog->int
B_141_FB40-SL_106-ST_NISL-SE_316_compressed.jp2,NISL,42099.0,65450.0,316,317.0,1.449769700505132,07-02-24(14:47),[-42720. -55680.],-2.14270462083631,1.0,-42720.0,55680.0,[3235.2900698  1483.27255728],rot180->rot90->pad->cog->int
B_141_FB40-SL_106-ST_HEOS-SE_317_compressed.jp2,HEOS,41544.0,59936.0,317,319.0,1.1335335610534647,07-02-24(14:47),[-42816. -55520.],-2.0901714802669265,1.0,-42816.0,55520.0,[3136.11180794 1486.14975572],rot180->rot90->pad->cog->sift
B_141_FB40-SL_107-ST_NISL-SE_319_compressed.jp2,NISL,41252.0,60214.0,319,320.0,1.2355564028193249,07-02-24(14:47),[-42848. -55552.],-2.1698831562755934,1.0,-42848.0,55552.0,[3178.64851291 1569.52033146],rot180->rot90->pad->cog->int
B_141_FB40-SL_107-ST_HEOS-SE_320_compressed.jp2,HEOS,,,320,322.0,1.6958650852381092,07-02-24(14:47),[-42528. -55904.],-2.112105853651362,1.0,-42528.0,55904.0,[3214.77790999 1467.8294775 ],rot180->rot90->pad->cog->int
